"var_star","estimate","se","df","t value","pval","conf.low","conf.high","effect","model","model_term_number"
"Menses",-0.0694845740682229,0.0207484076214819,9316.01437868945,-3.34891117120149,0.000814516320658854,-0.110150705742884,-0.028818442393562,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.2"
"Menses * Partner Sexual Attract.",0.0576831656540986,0.0207934399397002,9270.88569324172,2.77410403576208,0.00554647116601057,0.0169287722575895,0.0984375590506076,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.3"
"Estradiol (mean)",-0.00849021059004267,0.0485241713088062,376.444381182527,-0.174968687996983,0.861198304964286,-0.103595838734955,0.0866154175548693,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.4"
"Estradiol (mean) * Partner Sexual Attract.",0.0586449512180938,0.051590580816258,372.447937973734,1.13673756507918,0.256378845085531,-0.0424707291232749,0.159760631559462,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.5"
"Estradiol (mean) * Self Sexual Attract.",-0.0555764429503005,0.0613468181269285,377.583780851284,-0.905938476471772,0.365546146116687,-0.175813997045209,0.0646611111446082,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.6"
"Estradiol (WW)",0.0523361937239953,0.0146401828106464,404.442419480644,3.57483198132856,0.000392791859899301,0.0236419626880461,0.0810304247599445,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.7"
"Estradiol (WW) * Partner Sexual Attract.",-0.0422028736196587,0.014753959070807,411.651627476698,-2.86044399453186,0.00444594194703763,-0.0711201020278184,-0.013285645211499,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.8"
"Estradiol (WW) * Self Sexual Attract.",0.0190462819209763,0.0155384542156736,325.759116373011,1.22575139435455,0.221177642593029,-0.0114085287171685,0.0495010925591211,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.9"
"Partner Sexual Attract.",-0.160176040694861,0.0385922770605001,377.35215172591,-4.15046876979447,0.0000410428663357213,-0.235815513814833,-0.0845365675748899,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.10"
"Progesterone (mean)",0.0281393714450635,0.0502810490834411,379.30369341306,0.559641693202669,0.576054180672604,-0.0704096738633717,0.126688416753499,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.11"
"Progesterone (mean) * Partner Sexual Attract.",-0.0472751567351651,0.0543763634703087,375.298028566033,-0.869406369202658,0.385180578475229,-0.15385087074723,0.0593005572768993,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.12"
"Progesterone (mean) * Self Sexual Attract.",0.0045061812978636,0.0620427599878299,381.394207034128,0.0726302520833619,0.942138425830786,-0.117095393779746,0.126107756375473,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.13"
"Progesterone (WW)",-0.0742965700191534,0.0135251683827659,342.159679262665,-5.49320850702485,0.0000000771546461077146,-0.100805412934214,-0.0477877271040923,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.14"
"Progesterone (WW) * Partner Sexual Attract.",0.067112364919796,0.0135367358049999,338.649798272985,4.95779528289292,0.00000112942633058442,0.0405808502737624,0.0936438795658296,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.15"
"Progesterone (WW) * Self Sexual Attract.",-0.00638141785613473,0.0151721866575647,342.07105651336,-0.420599746111944,0.6743114833886,-0.0361183572716807,0.0233555215594112,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.16"
"Self Sexual Attract.",0.0813069350731499,0.0420650026843592,367.972611902914,1.93288790882169,0.0540170054216044,-0.0011389551977749,0.163752825344075,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.17"
"Study",0.0129807819286283,0.0372459079052889,367.364906452625,0.348515653360809,0.727652601771334,-0.0600198561372336,0.0859814199944902,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.18"
"Study * Estradiol (mean)",-0.0541884646676212,0.0479489899688335,376.704967728632,-1.1301273437218,0.259141620780821,-0.148166758101607,0.0397898287663647,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.19"
"Study * Estradiol (mean) * Partner Sexual Attract.",-0.0390473012320608,0.0506199282309461,372.885775396936,-0.77138199512874,0.440969078409987,-0.138260537464717,0.0601659350005958,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.20"
"Study * Estradiol (mean) * Self Sexual Attract.",-0.0581248167881364,0.0597582299900931,377.81497959769,-0.972666305507584,0.331341483663405,-0.17524879534858,0.0589991617723074,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.21"
"Study * Estradiol (WW)",-0.00292429749218018,0.0139133812684688,331.768078286387,-0.210178779388973,0.833657157849141,-0.0301940236815533,0.0243454286971929,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.22"
"Study * Estradiol (WW) * Partner Sexual Attract.",0.0273288653364446,0.0139954737139277,335.495954733882,1.95269312743934,0.0516872133618293,-0.000101759089430789,0.05475948976232,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.23"
"Study * Estradiol (WW) * Self Sexual Attract.",0.0200129381417816,0.015272758148838,325.965744870637,1.31036830065329,0.190993837344862,-0.0099211177745315,0.0499469940580948,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.24"
"Study * Partner Sexual Attract.",0.0290823110475872,0.0384761653828514,371.527064887305,0.755852636514266,0.450216509254381,-0.0463295873660084,0.104494209461183,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.25"
"Study * Progesterone (mean)",0.060370491290281,0.0495951638536797,379.844689830466,1.21726568881578,0.224258849583244,-0.0368342436702939,0.157575226250856,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.26"
"Study * Progesterone (mean) * Partner Sexual Attract.",0.0418599580899009,0.0531510388080135,375.997507560949,0.787566132829557,0.431446710654905,-0.0623141637146963,0.146034079894498,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.27"
"Study * Progesterone (mean) * Self Sexual Attract.",0.0673985066944331,0.0608021607335234,381.477071392828,1.10848867673995,0.268349193097962,-0.0517715385254883,0.186568551914355,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.28"
"Study * Progesterone (WW)",-0.000739807837001325,0.0135155749161105,341.733620631628,-0.0547374300829394,0.956379635576344,-0.0272298479029308,0.0257502322289281,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.29"
"Study * Progesterone (WW) * Partner Sexual Attract.",-0.000637504735376132,0.0135317075447632,339.089714867226,-0.0471119208915247,0.962451760627129,-0.0271591641724409,0.0258841547016887,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.30"
"Study * Progesterone (WW) * Self Sexual Attract.",-0.00954114887891507,0.0149064429935035,341.84355201427,-0.640068786569224,0.522556639593909,-0.0387572402837813,0.0196749425259511,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.31"
"Study * Self Sexual Attract.",0.0264013018704833,0.0413487600407348,367.98125221676,0.638502867908833,0.523543565757587,-0.0546407786147458,0.107443382355712,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.32"
