model,variable,moderator_value,slope,SE,df,lower_ci,upper_ci,p.value
EA_HPMSy,Zprog_ww,1,-0.0330507097251714,0.01974302833655658,469.7009757209682,-0.07184630139859892,0.00574488194825612,0.09478754835391003
EA_HPMSy,Zestr_ww,-1,0.0989979864515008,0.020029609352921994,536.6986424639101,0.05965194366466281,0.1383440292383388,1.0321044510716234e-6
EA_HPMSy,Zestr_ww,0,0.0534718050559498,0.01458575465907345,600.797465558325,0.0248265446148211,0.08211706549707849,2.6816430155709965e-4
EA_HPMSy,Zestr_ww,1,0.007945623660398785,0.01984567178031421,537.9609375761277,-0.031038886533200506,0.04693013385399807,0.6890425114014829
EA_PRCP,Zprc_stirn_ww,-1,0.124427602711598,0.016392229553835527,468.3276499895172,0.0922161784530191,0.1566390269701769,1.7364896141172155e-13
EA_PRCP,Zprc_stirn_ww,0,0.0773179619909719,0.011629025053269204,470.63965305101635,0.05446672684345755,0.10016919713848627,8.213835112668898e-11
EA_PRCP,Zprc_stirn_ww,1,0.03020832127034582,0.016341297492568803,473.1240854218085,-0.0019021759199229493,0.062318818460614586,0.06514110795969802
EA_HP,Zprog_ww,-1,-0.1447194177545363,0.01972993182344118,469.17699496524887,-0.18348938627425626,-0.10594944923481635,9.813343999380967e-13
EA_HP,Zprog_ww,0,-0.08954312029813458,0.014019317458930472,473.2637151936052,-0.1170909275310291,-0.06199531306524006,4.045110418819606e-10
EA_HP,Zprog_ww,1,-0.03436682284173284,0.019699294290486096,473.47986801895985,-0.07307567783198576,0.004342032148520088,0.08170837961130159
EA_HP,Zestr_ww,-1,0.10483377868334721,0.019899249299767857,534.0534256262547,0.06574337679131528,0.14392418057537915,2.0012717271636286e-7
EA_HP,Zestr_ww,0,0.05710235677719148,0.01455147840488487,602.7817249300675,0.02852460205815438,0.08568011149622858,9.705970808455431e-5
EA_HP,Zestr_ww,1,0.009370934871035741,0.019892675572910794,542.7653507378161,-0.029705128880606897,0.04844699862267838,0.6377767115700893
EA_PRCPSMs1,Zprc_stirn_ww,-1,0.14871006569456935,0.021540233775420043,240.07350078377138,0.10627807595678704,0.19114205543235166,4.4891253834475866e-11
EA_PRCPSMs1,Zprc_stirn_ww,0,0.08055150025234753,0.015993377616312105,242.75669709882408,0.04904799650000863,0.11205500400468643,9.251446952911915e-7
EA_PRCPSMs1,Zprc_stirn_ww,1,0.012392934810125725,0.023897517702836046,240.71739929162428,-0.03468201780947003,0.05946788742972148,0.6045253623737249
EA_HPSMs1,Zprog_ww,-1,-0.16246893542385188,0.025080336319606714,239.11653314008697,-0.21187555571695388,-0.11306231513074988,5.247695027571009e-10
EA_HPSMs1,Zprog_ww,0,-0.09147595810061146,0.018656730552642057,243.51785155306055,-0.128225117117213,-0.05472679908400994,1.724465590055986e-6
EA_HPSMs1,Zprog_ww,1,-0.02048298077737106,0.02788667228729794,241.48733703764572,-0.07541515597529122,0.0344491944205491,0.46335187198399164
EA_HPSMs1,Zestr_ww,-1,0.139582878081363,0.027194409713433954,279.1265351145365,0.0860507032553464,0.19311505290737957,5.357949864621597e-7
EA_HPSMs1,Zestr_ww,0,0.06402487201037078,0.020686093401974436,309.72740267611726,0.023321824147947604,0.10472791987279396,0.0021473519271401017
EA_HPSMs1,Zestr_ww,1,-0.01153313406062143,0.0299010517752281,269.56184997603515,-0.07040242734571107,0.04733615922446821,0.7000156878394648
EA_PRCPSMs2,Zprc_stirn_ww,-1,0.10381397791980417,0.02577199841583316,224.19818384213877,0.05302763919799468,0.15460031664161367,7.697585075538842e-5
EA_PRCPSMs2,Zprc_stirn_ww,0,0.06960249012548118,0.017057558424675986,223.6508745886081,0.03598839351117539,0.10321658673978698,6.255183951316529e-5
EA_PRCPSMs2,Zprc_stirn_ww,1,0.035391002331158196,0.022873154813182257,226.8755887632702,-0.00967998434906929,0.08046198901138568,0.12319131647475942
EA_HPSMs2,Zprog_ww,-1,-0.13519069211586743,0.03222971928952106,225.42371574720892,-0.19870075151346264,-0.07168063271827221,3.9309070932098844e-5
EA_HPSMs2,Zprog_ww,0,-0.08470552657377733,0.021361700743661477,225.947161619537,-0.126799157852582,-0.04261189529497267,9.839735924907732e-5
EA_HPSMs2,Zprog_ww,1,-0.03422036103168724,0.0286398594581329,226.75902459200063,-0.0906546523627666,0.022213930299392122,0.2333935128373668
EA_HPSMs2,Zestr_ww,-1,0.07005729617814074,0.029690363760329613,250.14911581472666,0.011582342002891842,0.12853225035338964,0.019063668304627614
EA_HPSMs2,Zestr_ww,0,0.043851313435488294,0.0203522050890515,286.88519948728083,0.003792730663260614,0.08390989620771597,0.03202371380002924
EA_HPSMs2,Zestr_ww,1,0.01764533069283585,0.026709833158371932,268.24200119807267,-0.03494224729819026,0.07023290868386196,0.509416231464828
SC_PRCPSMSy,Zprc_stirn_ww,-1,0.046226646116223576,0.013491106587962274,480.43593018072744,0.019717782133340692,0.07273551009910646,6.640084545219121e-4
SC_PRCPSMSy,Zprc_stirn_ww,0,0.031241970547501,0.009475622604733218,493.1442277067574,0.012624398833759987,0.049859542261242014,0.001047404904247125
SC_PRCPSMSy,Zprc_stirn_ww,1,0.01625729497877843,0.01335499601544554,480.1836063629736,-0.009984158260690646,0.042498748218247506,0.22408063824322993
SC_HPSMSy,Zprog_ww,-1,-0.06710966851093249,0.015607197751507308,467.47423133472864,-0.09777861714286744,-0.03644071987899754,2.0809916134088323e-5
SC_HPSMSy,Zprog_ww,0,-0.04350932761433834,0.010912477728789853,470.6513408506528,-0.06495253351639765,-0.02206612171227903,7.75144908194337e-5
SC_HPSMSy,Zprog_ww,1,-0.019908986717744187,0.01548851521394558,468.0685752072526,-0.05034461772904179,0.010526644293553416,0.19928704908190098
SC_HPSMSy,Zestr_ww,-1,0.038448432930283105,0.017567711871398495,523.788175942441,0.003936603998782498,0.07296026186178371,0.029067854157778027
SC_HPSMSy,Zestr_ww,0,0.025045677908048347,0.012569170888699879,578.8542744746644,3.5893840057038204e-4,0.04973241741552631,0.046771353875833255
SC_HPSMSy,Zestr_ww,1,0.011642922885813593,0.017430034232995092,527.4121791871811,-0.022597892968794258,0.04588373874042144,0.5044382431773753
SC_PRCPSM,Zprc_stirn_ww,-1,0.0439871337266485,0.01330896955153698,479.45959974225656,0.017836018869032494,0.07013824858426451,0.0010206626108772905
SC_PRCPSM,Zprc_stirn_ww,0,0.0306916528775512,0.009382391119881203,494.89896271193805,0.01225742189264745,0.04912588386245495,0.0011456430003292703
SC_PRCPSM,Zprc_stirn_ww,1,0.017396172028453897,0.013278546047673418,484.12806657778833,-0.008694526271481953,0.04348687032838974,0.19078457136949112
SC_HPSM,Zprog_ww,-1,-0.06418386434843924,0.015403211407998899,466.283180945165,-0.09445216997730398,-0.03391555871957451,3.680377010118478e-5
SC_HPSM,Zprog_ww,0,-0.04235948978042893,0.010809500994878535,471.9885399847326,-0.063600189492378,-0.021118790068479866,1.0218266247743095e-4
SC_HPSM,Zprog_ww,1,-0.020535115212418607,0.015403792244389534,471.8130773348905,-0.050803639027427155,0.009733408602589946,0.18313550954932914
SC_HPSM,Zestr_ww,-1,0.03854359984429937,0.017376251786916003,523.9649331553545,0.004407921560719931,0.0726792781278788,0.026970747653464723
SC_HPSM,Zestr_ww,0,0.026257574360870676,0.012483379068088545,583.0055309893676,0.0017397018240457827,0.05077544689769557,0.03585843713055419
SC_HPSM,Zestr_ww,1,0.013971548877441984,0.01736546670766323,532.0796970710834,-0.020141737601356947,0.04808483535624092,0.4214333364335494
SC_PRCPSSy,Zprc_stirn_ww,-1,0.046213701201297405,0.013486618172695424,480.4048199575572,0.019713652234427868,0.07271375016816695,6.635813614465234e-4
SC_PRCPSSy,Zprc_stirn_ww,0,0.03110279536038532,0.009472353969100459,493.16644506284337,0.01249164787928174,0.0497139428414889,0.0010979492764195335
SC_PRCPSSy,Zprc_stirn_ww,1,0.015991889519473237,0.013351237699138223,480.209331587606,-0.010242175390854345,0.042225954429800816,0.2315922573507383
SC_HPSSy,Zprog_ww,-1,-0.06714367001981796,0.015608204698460814,467.41339016802453,-0.09781460771703031,-0.0364727323226056,2.063942030790639e-5
SC_HPSSy,Zprog_ww,0,-0.04344679748704309,0.010913291564214386,470.64127715833916,-0.06489160377185305,-0.022001991202233125,7.944080989588274e-5
